Município;Habitantes:INTEGER
mun_4305405;4044
mun_4305504;4921
mun_4305587;2419
mun_4305603;3550
mun_4305900;7748
mun_4305959;3905
mun_4305975;2826
mun_4306007;14082
mun_4306056;7269
mun_4306072;2826
mun_4306106;62800
mun_4306205;12295
mun_4306304;4683
mun_4306320;3189
mun_4306353;2859
mun_4306429;2157
mun_4306601;38519
mun_4312203;4898
mun_4306809;20503
mun_4315404;10220
mun_4322525;3251
mun_4306957;3079
mun_4307401;3165
mun_4307500;15227
mun_4307831;2786
mun_4308300;10687
mun_4308656;3231
mun_4308854;1677
mun_4309126;2269
mun_4307104;6746
mun_4309571;2959
mun_4309951;4053
mun_4310207;78684
mun_4310330;17606
mun_4310363;3020
mun_4310439;6015
mun_4310504;8078
mun_4310603;38151
mun_4310702;4170
mun_4311908;5134
mun_4314902;1365039
mun_4321808;23631
mun_4309506;8091
mun_4313904;38048
mun_4314605;19655
mun_4303707;6113
mun_4304606;317945
mun_4309050;6868
mun_4310553;3441
mun_4318465;2202
mun_4308508;28805
mun_4320578;2118
mun_4311502;7498
mun_4302253;2771
mun_4316907;259004
mun_4317509;76147
mun_4317608;39310
mun_4318101;19220
mun_4318804;43010
mun_4319901;73839
mun_4320107;20967
mun_4320800;29358
mun_4321303;25668
mun_4321907;23924
mun_4322400;125171
mun_4316204;5496
mun_4309001;17067
mun_4309704;4916
mun_4310405;6615
mun_4311601;5780
mun_4313508;40201
mun_4313607;4243
mun_4314506;12689
mun_4308706;5862
mun_4308805;8447
mun_4308904;16156
mun_4307609;42482
mun_4301602;116078
mun_4303806;5504
mun_4305207;13272
mun_4307054;3088
mun_4309753;4371
mun_4310462;1944
mun_4314753;2015
mun_4322806;22553
mun_4323002;236999
mun_4313656;10943
mun_4323606;1569
mun_4301958;2367
mun_4306924;1530
mun_4310413;2266
mun_4315156;6161
mun_4318051;2926
mun_4318424;4726
mun_4318481;4094
mun_4320263;7114
mun_4300208;7249
mun_4318705;212279
mun_4313391;3855
mun_4322376;2448
mun_4306759;2030
mun_4314498;4503
mun_4317558;2139
mun_4317756;1986
mun_4318457;2720
mun_4319737;2641
mun_4320677;10017
mun_4321832;2910
mun_4319125;3201
mun_4311791;2527
mun_4313375;22454
mun_4313441;2274
mun_4322558;1984
mun_4310009;19311
mun_4300455;4289
mun_4306973;2957
mun_4309902;7142
mun_4313425;3927
mun_4317806;13958
mun_4319109;5773
mun_4319752;1941
mun_4315305;22959
mun_4319505;21911
mun_4323358;2152
mun_4300059;3726
mun_4300109;16716
mun_4300307;7045
mun_4300406;77304
mun_4300505;8027
mun_4300554;1848
mun_4300604;194837
mun_4300638;6352
mun_4300646;7318
mun_4300703;6070
mun_4300802;12781
mun_4300851;3693
mun_4300877;4860
mun_4300901;6568
mun_4301008;18776
mun_4301057;7678
mun_4301206;12633
mun_4301107;13604
mun_4301305;18422
mun_4301404;10191
mun_4301503;7094
mun_4301636;10786
mun_4301651;5732
mun_4301701;6529
mun_4301750;7018
mun_4301859;3089
mun_4301875;4010
mun_4301909;12557
mun_4301925;2003
mun_4314027;7330
mun_4301800;5352
mun_4302006;11127
mun_4302055;2307
mun_4302105;104470
mun_4302154;2114
mun_4316303;7206
mun_4302204;6555
mun_4302303;11509
mun_4302352;11770
mun_4302402;11472
